휴대폰명,모델명,정상가(A),휴대폰지원금(B),다이렉트몰추가지원금(C),실제구입가(A-B-C),지원금 등록일,구매하기
갤럭시 A9 Pro,SM-G887N,"599,500원","400,000원",0원,"199,500원",2019.01.29,구매
Q9,LM-Q925L,"499,400원","450,000원",0원,"49,400원",2019.01.15,구매
갤럭시 J4+,SM-J415N,"264,000원","164,000원","24,600원","75,400원",2018.11.24,구매
V40,LM-V409N,"1,049,400원","350,000원",0원,"699,400원",2018.10.24,구매
갤럭시 노트9,SM-N960N,"1,094,500원","300,000원",0원,"794,500원",2018.08.21,구매
갤럭시 노트9 512GB,SM-N960N512,"1,353,000원","300,000원",0원,"1,053,000원",2018.08.21,구매
Q8 (2018),LM-Q815L,"539,000원","350,000원",0원,"189,000원",2018.08.14,구매
갤럭시 J6,SM-J600L,"330,000원","330,000원",0원,0원,2019.01.01,구매
갤럭시 A6,SM-A600N,"396,000원","176,000원","26,400원","193,600원",2018.07.20,구매
X2,LM-X210L,"198,000원","110,000원","16,500원","71,500원",2019.01.01,구매
Q7,LM-Q720L,"419,100원","400,000원","19,100원",0원,2018.12.20,구매
카카오리틀프렌즈폰,SM-J330L-KA,"286,000원","286,000원",0원,0원,2018.09.04,구매
X5,LM-X510L,"363,000원","363,000원",0원,0원,2018.06.26,구매
G7,LM-G710N,"898,700원","700,000원",0원,"198,700원",2018.12.01,구매
G7+,LM-G710N128,"976,800원","450,000원",0원,"526,800원",2018.07.14,구매
J2 Pro,SM-J250N,"199,100원","180,000원","19,100원",0원,2018.04.24,구매
LG 폴더,LM-Y110L,"220,000원","110,000원","16,500원","93,500원",2019.01.01,구매
MVNO 리프레시 갤럭시 S9 64G,RF-SM-G960N,"765,600원","285,000원",0원,"480,600원",2018.06.14,구매
갤럭시 On7 Prime,SM-G611L,"344,300원","300,000원","44,300원",0원,2018.02.10,구매
갤럭시 S9,SM-G960N,"957,000원","360,000원",0원,"597,000원",2018.07.14,구매
갤럭시 S9+,SM-G965N,"968,000원","360,000원",0원,"608,000원",2018.07.14,구매
갤럭시 A8,SM-A530N,"599,500원","400,000원",0원,"199,500원",2018.02.09,구매
MVNO 리프레시 아이폰X 256G,RF-A1901-256,"1,246,000원","380,000원",0원,"866,000원",2018.12.01,구매
MVNO 리프레시 아이폰X 64G,RF-A1901-64,"1,088,560원","380,000원",0원,"708,560원",2018.08.27,구매
MVNO 리프레시 갤럭시 노트8 256G,RF-SM-N950N256,"759,000원","610,000원",0원,"149,000원",2018.12.08,구매
MVNO 리프레시 갤럭시 노트8 64G,RF-SM-N950N,"693,000원","574,000원",0원,"119,000원",2018.12.08,구매
갤럭시 J3 2017,SM-J330L,"244,200원","99,000원","14,850원","130,350원",2019.01.01,구매
갤럭시 노트8,SM-N950N,"998,800원","360,000원",0원,"638,800원",2018.07.02,구매
갤럭시 폴더 2017,SM-G160N,"297,000원","99,000원","14,850원","183,150원",2019.01.01,구매
MVNO 리프레시 갤럭시 S8 64G,RF-SM-G950N,"484,000원","484,000원",0원,0원,2018.12.08,구매
