곡일련번호,순위,앨범,곡명,가수,커버이미지_주소,좋아요
31346009,1,삐삐,삐삐,아이유,https://cdnimg.melon.co.kr/cm/album/images/102/10/535/10210535_500.jpg/melon/resize/120/quality/80/optimize,61528
31344113,2,시간이 들겠지,시간이 들겠지 (Feat. Colde),로꼬,https://cdnimg.melon.co.kr/cm/album/images/102/10/198/10210198_500.jpg/melon/resize/120/quality/80/optimize,48331
31340985,3,쇼미더머니 777 Episode 1,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,https://cdnimg.melon.co.kr/cm/album/images/102/09/647/10209647_500.jpg/melon/resize/120/quality/80/optimize,54022
31316695,4,하루도 그대를 사랑하지 않은 적이 없었다,하루도 그대를 사랑하지 않은 적이 없었다,임창정,https://cdnimg.melon.co.kr/cm/album/images/102/05/805/10205805_500.jpg/melon/resize/120/quality/80/optimize,97984
31266290,5,LOVE YOURSELF 結 `Answer`,IDOL,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,173279
31331745,6,NEW KIDS : THE FINAL,이별길 (GOODBYE ROAD),iKON,https://cdnimg.melon.co.kr/cm/album/images/102/08/358/10208358_500.jpg/melon/resize/120/quality/80/optimize,55396
31340982,7,쇼미더머니 777 Episode 1,사임사임 (Feat. CHANGMO),Coogie,https://cdnimg.melon.co.kr/cm/album/images/102/09/647/10209647_500.jpg/melon/resize/120/quality/80/optimize,27564
31266289,8,LOVE YOURSELF 結 `Answer`,I`m Fine,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,132847
31314142,9,우리 그만하자,우리 그만하자,로이킴,https://cdnimg.melon.co.kr/cm/album/images/102/05/438/10205438_500.jpg/melon/resize/120/quality/80/optimize,95771
31085237,10,LOVE YOURSELF 轉 `Tear`,FAKE LOVE,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/68/559/10168559_500.jpg/melon/resize/120/quality/80/optimize,253847
31314144,11,가을 타나 봐,가을 타나 봐,바이브,https://cdnimg.melon.co.kr/cm/album/images/102/05/439/10205439_500.jpg/melon/resize/120/quality/80/optimize,28056
31266282,12,LOVE YOURSELF 結 `Answer`,Euphoria,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,129017
31302310,13,헤어지는 중,헤어지는 중,펀치 (Punch),https://cdnimg.melon.co.kr/cm/album/images/102/03/500/10203500_500.jpg/melon/resize/120/quality/80/optimize,77050
31266291,14,LOVE YOURSELF 結 `Answer`,Answer : Love Myself,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,108151
31085238,15,LOVE YOURSELF 轉 `Tear`,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/68/559/10168559_500.jpg/melon/resize/120/quality/80/optimize,176653
31266288,16,LOVE YOURSELF 結 `Answer`,Epiphany,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,101011
31266286,17,LOVE YOURSELF 結 `Answer`,Trivia 轉 : Seesaw,방탄소년단,https://cdnimg.melon.co.kr/cm/album/images/101/97/480/10197480_500.jpg/melon/resize/120/quality/80/optimize,98436
30962526,18,`키스 먼저 할까요?` OST Part.3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize,185706
31280273,19,YOUNG,YOUNG,백현 (BAEKHYUN),https://cdnimg.melon.co.kr/cm/album/images/101/99/959/10199959_500.jpg/melon/resize/120/quality/80/optimize,91106
